/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:3.6 CYCLES:36 ICOUNT:10 IHITRATE: 71.4 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:7.1 CYCLES:50 ICOUNT:7 IHITRATE: 61.5 DHITRATE: 75.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:3.8 CYCLES:34 ICOUNT:9 IHITRATE: 69.2 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:6.3 CYCLES:44 ICOUNT:7 IHITRATE: 61.5 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:3.6 CYCLES:36 ICOUNT:10 IHITRATE: 71.4 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:7.1 CYCLES:50 ICOUNT:7 IHITRATE: 61.5 DHITRATE: 75.0
